12:02:07.027 ->   Timestamp | Background value | Measured value | Final value 
12:04:23.450 ->  0000136611 |                0 |            691 |      0.6748
12:04:23.966 ->  0000137111 |                0 |            691 |      0.6748
12:04:24.481 ->  0000137610 |                0 |            692 |      0.6758
12:04:24.950 ->  0000138110 |                0 |            691 |      0.6748
12:04:25.466 ->  0000138610 |                0 |            691 |      0.6748
12:04:25.981 ->  0000139109 |                0 |            691 |      0.6748
12:04:26.464 ->  0000139610 |                0 |            691 |      0.6748
12:04:26.948 ->  0000140110 |                0 |            691 |      0.6748
12:04:27.464 ->  0000140610 |                0 |            691 |      0.6748
12:04:27.979 ->  0000141110 |                0 |            691 |      0.6748
12:04:28.448 ->  0000141611 |                0 |            692 |      0.6758
12:04:28.963 ->  0000142111 |                0 |            691 |      0.6748
12:04:29.479 ->  0000142611 |                0 |            690 |      0.6738
12:04:29.951 ->  0000143112 |                0 |            691 |      0.6748
12:04:30.467 ->  0000143612 |                0 |            692 |      0.6758
12:04:30.982 ->  0000144112 |                0 |            691 |      0.6748
12:04:31.451 ->  0000144612 |                0 |            691 |      0.6748
12:04:31.966 ->  0000145113 |                0 |            690 |      0.6738
12:04:32.482 ->  0000145613 |                0 |            692 |      0.6758
12:04:32.951 ->  0000146113 |                0 |            692 |      0.6758
12:04:33.466 ->  0000146613 |                0 |            691 |      0.6748
12:04:33.981 ->  0000147113 |                0 |            691 |      0.6748
12:04:34.450 ->  0000147613 |                0 |            691 |      0.6748
12:04:34.966 ->  0000148113 |                0 |            690 |      0.6738
12:04:35.434 ->  0000148614 |                0 |            692 |      0.6758
12:04:35.950 ->  0000149114 |                0 |            691 |      0.6748
12:04:36.465 ->  0000149614 |                0 |            690 |      0.6738
12:04:36.981 ->  0000150114 |                0 |            691 |      0.6748
12:04:37.449 ->  0000150615 |                0 |            691 |      0.6748
12:04:37.965 ->  0000151115 |                0 |            691 |      0.6748
12:04:38.480 ->  0000151615 |                0 |            692 |      0.6758
12:04:38.949 ->  0000152116 |                0 |            691 |      0.6748
12:04:39.444 ->  0000152616 |                0 |            691 |      0.6748
12:04:39.959 ->  0000153116 |                0 |            692 |      0.6758
12:04:40.475 ->  0000153616 |                0 |            692 |      0.6758
12:04:40.944 ->  0000154117 |                0 |            691 |      0.6748
12:04:41.459 ->  0000154616 |                0 |            691 |      0.6748
12:04:41.975 ->  0000155116 |                0 |            692 |      0.6758
12:04:42.443 ->  0000155616 |                0 |            691 |      0.6748
12:04:42.959 ->  0000156115 |                0 |            690 |      0.6738
12:04:43.463 ->  0000156615 |                0 |            692 |      0.6758
12:04:43.931 ->  0000157115 |                0 |            691 |      0.6748
12:04:44.447 ->  0000157615 |                0 |            692 |      0.6758
12:04:44.962 ->  0000158115 |                0 |            691 |      0.6748
12:04:45.431 ->  0000158615 |                0 |            692 |      0.6758
12:04:45.946 ->  0000159114 |                0 |            692 |      0.6758
12:04:46.462 ->  0000159614 |                0 |            690 |      0.6738
12:04:46.931 ->  0000160114 |                0 |            692 |      0.6758
12:04:47.446 ->  0000160614 |                0 |            692 |      0.6758
12:04:47.962 ->  0000161115 |                0 |            692 |      0.6758
12:04:48.430 ->  0000161615 |                0 |            691 |      0.6748
12:04:48.944 ->  0000162115 |                0 |            692 |      0.6758
12:04:49.461 ->  0000162615 |                0 |            691 |      0.6748
12:04:49.930 ->  0000163116 |                0 |            691 |      0.6748
12:04:50.444 ->  0000163616 |                0 |            691 |      0.6748
12:04:50.960 ->  0000164116 |                0 |            692 |      0.6758
12:04:51.429 ->  0000164617 |                0 |            692 |      0.6758
12:04:51.944 ->  0000165117 |                0 |            692 |      0.6758
12:04:52.460 ->  0000165617 |                0 |            691 |      0.6748
12:04:52.928 ->  0000166117 |                0 |            691 |      0.6748
