i1	V(n008)
6.709137099553845e-03	1.319837e+00
6.812920690579341e-03	1.320471e+00
6.918309709189089e-03	1.321107e+00
7.025328989730240e-03	1.321744e+00
7.134003750712275e-03	1.322382e+00
7.244359600749609e-03	1.323022e+00
7.356422544596117e-03	1.323663e+00
7.470218989273015e-03	1.324306e+00
7.585775750291531e-03	1.324950e+00
7.703120057971835e-03	1.325595e+00
7.822279563859709e-03	1.326242e+00
7.943282347242493e-03	1.326891e+00
8.066156921765806e-03	1.327541e+00
8.190932242152638e-03	1.328193e+00
8.317637711026369e-03	1.328846e+00
8.446303185839339e-03	1.329501e+00
8.576958985908588e-03	1.330158e+00
8.709635899560447e-03	1.330816e+00
8.844365191385631e-03	1.331476e+00
8.981178609606573e-03	1.332138e+00
9.120108393558719e-03	1.332801e+00
9.261187281287549e-03	1.333466e+00
9.404448517263126e-03	1.334133e+00
9.549925860213962e-03	1.334802e+00
9.697653591082088e-03	1.335473e+00
9.847666521101171e-03	1.336145e+00
9.999999999999582e-03	1.336820e+00
1.015468992433038e-02	1.337496e+00
1.031177274593012e-02	1.338175e+00
1.047128548050856e-02	1.338855e+00
1.063326571637116e-02	1.339538e+00
1.079775162327664e-02	1.340222e+00
1.096478196143139e-02	1.340909e+00
1.113439609062314e-02	1.341598e+00
1.130663397949591e-02	1.342289e+00
1.148153621496834e-02	1.342982e+00
1.165914401179782e-02	1.343678e+00
1.183949922229252e-02	1.344375e+00
1.202264434617362e-02	1.345075e+00
1.220862254059019e-02	1.345778e+00
1.239747763028892e-02	1.346483e+00
1.258925411794114e-02	1.347190e+00
1.278399719462969e-02	1.347899e+00
1.298175275049794e-02	1.348612e+00
1.318256738556351e-02	1.349326e+00
1.338648842069936e-02	1.350044e+00
1.359356390878467e-02	1.350763e+00
1.380384264602825e-02	1.351486e+00
1.401737418346709e-02	1.352211e+00
1.423420883864280e-02	1.352939e+00
1.445439770745865e-02	1.353670e+00
1.467799267622006e-02	1.354403e+00
1.490504643386131e-02	1.355140e+00
1.513561248436142e-02	1.355879e+00
1.536974515935204e-02	1.356621e+00
1.560749963092043e-02	1.357367e+00
1.584893192461044e-02	1.358115e+00
1.609409893262465e-02	1.358866e+00
1.634305842723066e-02	1.359621e+00
1.659586907437488e-02	1.360379e+00
1.685259044750678e-02	1.361139e+00
1.711328304161706e-02	1.361904e+00
1.737800828749299e-02	1.362671e+00
1.764682856619423e-02	1.363442e+00
1.791980722375255e-02	1.364217e+00
1.819700858609903e-02	1.364995e+00
1.847849797422209e-02	1.365776e+00
1.876434171956002e-02	1.366561e+00
1.905460717963162e-02	1.367350e+00
1.934936275390866e-02	1.368142e+00
1.964867789993380e-02	1.368939e+00
1.995262314968790e-02	1.369739e+00
2.026127012621053e-02	1.370543e+00
2.057469156047747e-02	1.371351e+00
2.089296130853945e-02	1.372162e+00
2.121615436892589e-02	1.372978e+00
2.154434690031786e-02	1.373798e+00
2.187761623949454e-02	1.374623e+00
2.221604091955711e-02	1.375451e+00
2.255970068843474e-02	1.376284e+00
2.290867652767669e-02	1.377122e+00
2.326305067153520e-02	1.377964e+00
2.362290662634354e-02	1.378810e+00
